,target
512,[0.12857]
513,[0.06298]
514,[0.054505]
515,[0.070175]
516,[0.12612]
517,[0.18458]
518,[0.205375]
519,[0.053485]
520,[0.13327]
521,[0.084905]
522,[0.08399]
523,[0.270985]
524,[0.20988]
525,[0.25651]
526,[0.251345]
527,[0.026645]
528,[0.224815]
529,[0.08717]
530,[0.17504]
531,[0.16158]
532,[0.24404]
533,[0.33789]
534,[0.17875]
535,[0.21257]
536,[0.21352]
537,[0.039655]
538,[0.100165]
539,[0.061215]
540,[0.172835]
541,[0.26105]
542,[0.10055]
543,[0.123385]
544,[0.20914]
545,[0.20175]
546,[0.14456]
547,[0.20847]
548,[0.90909]
549,[0.22999]
550,[0.27611]
551,[0.036745]
552,[0.21576]
553,[0.184075]
554,[0.21771]
555,[0.068095]
556,[0.13723]
557,[0.02459]
558,[0.06292]
559,[0.054275]
560,[0.20539]
561,[0.171145]
562,[0.375]
563,[0.26497]
564,[0.31687]
565,[0.23813]
566,[0.271655]
567,[0.169905]
568,[0.1247]
569,[0.223175]
570,[0.12566]
571,[0.067425]
572,[0.07115]
573,[0.07387]
574,[0.08314]
575,[0.15854]
576,[0.0891]
577,[0.19633]
578,[0.239335]
579,[0.05648]
580,[0.12526]
581,[0.267435]
582,[0.02966]
583,[0.30472]
584,[0.204965]
585,[0.276135]
586,[0.1442]
587,[0.04583]
588,[0.14816]
589,[0.07293]
590,[0.0507]
591,[0.06758]
592,[0.228085]
593,[0.232935]
594,[0.13563]
595,[0.20963]
596,[0.093685]
597,[0.236575]
598,[0.34272]
599,[0.14926]
600,[0.07921]
601,[0.29504]
602,[0.218375]
603,[0.02392]
604,[0.190335]
605,[0.11302]
606,[0.040435]
607,[0.26239]
608,[0.357705]
609,[0.1455]
610,[0.06451]
611,[0.128035]
612,[0.213525]
613,[0.267945]
614,[0.101295]
615,[0.14671]
616,[0.73889]
617,[0.26335]
618,[0.304955]
619,[0.183505]
620,[0.26142]
621,[0.051995]
622,[0.09774]
623,[0.035885]
624,[0.03018]
625,[0.277055]
626,[0.06833]
627,[0.07247]
628,[0.10575]
629,[0.10221]
630,[0.226255]
631,[0.15261]
632,[0.084815]
633,[0.15415]
634,[0.11138]
635,[0.1786]
636,[0.25292]
637,[0.102125]
638,[0.181805]
639,[0.065035]
640,[0.2199]
641,[0.134]
642,[0.27731]
643,[0.282955]
644,[0.17043]
645,[0.701295]
646,[0.096065]
647,[0.08942]
648,[0.17516]
649,[0.09554]
650,[0.134925]
651,[0.33829]
652,[0.111335]
653,[0.177715]
654,[0.017325]
655,[0.071545]
656,[0.22345]
657,[0.090115]
658,[0.021295]
659,[0.21568]
660,[0.15946]
661,[0.08919]
662,[0.141685]
663,[0.079605]
664,[0.16687]
665,[0.04133]
666,[0.20044]
667,[0.25639]
668,[0.24744]
669,[0.18938]
670,[0.08705]
671,[0.131225]
672,[0.26471]
673,[0.20721]
674,[0.81856]
675,[0.17565]
676,[0.23206]
677,[0.14864]
678,[0.06736]
679,[0.16079]
680,[0.217365]
681,[0.120165]
682,[0.14211]
683,[0.116445]
684,[0.068395]
685,[0.029435]
686,[0.036225]
687,[0.151705]
688,[0.042865]
689,[0.07492]
690,[0.32339]
691,[0.10651]
692,[0.14832]
693,[0.19527]
694,[0.16085]
695,[0.205645]
696,[0.03978]
697,[0.1185]
698,[0.068695]
699,[0.278395]
700,[0.21378]
701,[0.222275]
702,[0.100605]
703,[0.178595]
704,[0.15552]
705,[0.11171]
706,[0.12069]
707,[0.07827]
708,[0.098625]
709,[0.149045]
710,[0.146145]
711,[0.23303]
712,[0.141955]
713,[0.085045]
714,[0.06662]
715,[0.252045]
716,[0.014335]
717,[0.12256]
718,[0.18784]
719,[0.106665]
720,[0.0585]
721,[0.101095]
722,[0.05586]
723,[0.294025]
724,[0.13905]
725,[0.22694]
726,[0.022]
727,[0.04307]
728,[0.222725]
729,[0.21364]
730,[0.163035]
731,[0.02871]
732,[0.06744]
733,[0.297755]
734,[0.189495]
735,[0.193255]
736,[0.133255]
737,[0.2466]
738,[0.158415]
739,[0.072355]
740,[0.09264]
741,[0.075765]
742,[0.090715]
743,[0.291395]
744,[0.23484]
745,[0.209565]
746,[0.1159]
747,[0.132825]
748,[0.320205]
749,[0.20649]
750,[0.01767]
751,[0.12435]
752,[0.2451]
753,[0.105255]
754,[0.394435]
755,[0.05885]
756,[0.094615]
757,[0.0615]
758,[0.137455]
759,[0.062955]
760,[0.118415]
761,[0.230055]
762,[0.23531]
763,[0.169415]
764,[0.230535]
765,[0.137915]
766,[0.085485]
767,[0.1651]
768,[0.171105]
769,[0.30914]
770,[0.15953]
771,[0.17641]
772,[0.14507]
773,[0.294275]
774,[0.01999]
775,[0.10673]
776,[0.15764]
777,[0.25128]
778,[0.185165]
779,[0.296635]
780,[0.120575]
781,[0.08931]
782,[0.31422]
783,[0.109355]
784,[0.22894]
785,[0.043635]
786,[0.067775]
787,[0.069655]
788,[0.05792]
