,label,z1,z2,split
303,TWH,4.061609268188477,4.937306880950928,test
304,TWS,2.554717540740967,0.40624022483825684,test
305,THS,4.5670576095581055,-2.407118558883667,test
306,TSS,4.292811393737793,4.724339485168457,test
307,TSH,6.354292869567871,-0.11659401655197144,test
308,TSS,6.562655448913574,6.019371032714844,test
309,TWH,3.7133877277374268,0.8571562767028809,test
310,TSS,1.9319815635681152,-0.3630560040473938,test
311,THH,5.451676368713379,1.3620634078979492,test
312,CWH,2.2962210178375244,-0.47533804178237915,test
313,TWW,6.2354230880737305,2.16483736038208,test
314,CSH,4.709873199462891,-0.3571735918521881,test
315,CWS,4.214853286743164,8.253438949584961,test
316,CSS,1.4384024143218994,-1.1629878282546997,test
317,TWH,4.559014797210693,1.407045841217041,test
318,TWH,3.349091053009033,-1.511922836303711,test
319,CSW,2.0166373252868652,1.0082802772521973,test
320,CSS,1.3155488967895508,6.618866920471191,test
321,THW,2.338622808456421,4.314306259155273,test
322,TSH,2.569897174835205,1.8624640703201294,test
323,TSH,4.286634922027588,2.6675872802734375,test
324,THW,6.781911849975586,0.3812441825866699,test
325,TSH,4.765209674835205,4.899054050445557,test
326,TSS,4.320096015930176,-0.09196645021438599,test
327,TSH,5.22708797454834,-0.8885928988456726,test
328,CSW,3.289060592651367,3.884082317352295,test
329,THH,4.787946701049805,4.974775791168213,test
330,THW,4.206177711486816,5.216176986694336,test
331,CSS,5.155885219573975,1.4113433361053467,test
332,CSS,3.1329853534698486,-0.6119530200958252,test
333,TSH,5.379880428314209,3.54548716545105,test
334,CSH,7.453939914703369,2.393709659576416,test
335,TWH,3.9279165267944336,-0.5895802974700928,test
336,CSS,5.204816818237305,6.773792266845703,test
337,CWH,7.080349445343018,1.0481150150299072,test
338,TWS,1.54525625705719,1.19535493850708,test
339,CSS,3.612825393676758,1.5416011810302734,test
340,TWH,0.85929936170578,5.015917778015137,test
341,TSW,0.6180109977722168,2.333469867706299,test
342,THH,1.9614781141281128,3.259141683578491,test
343,TSS,3.75358510017395,4.3777899742126465,test
344,TWH,6.116979598999023,2.4397854804992676,test
345,CSH,4.8382368087768555,-1.5228384733200073,test
346,TWW,6.134019374847412,0.10062164068222046,test
347,CSH,4.214776515960693,6.180259704589844,test
348,TWH,-0.10986757278442383,3.935403347015381,test
349,TSS,3.659480333328247,-0.6799708008766174,test
350,THS,1.5679442882537842,0.46402883529663086,test
351,TSH,4.522673606872559,-0.19451360404491425,test
352,TSW,3.358541250228882,1.9017951488494873,test
353,CSH,6.765769004821777,2.1938745975494385,test
354,CWH,5.253589153289795,4.758484840393066,test
355,TSH,1.7222023010253906,1.9859684705734253,test
356,CSH,3.7096359729766846,2.279033899307251,test
